NRKARTY,DATAW,MASA,JEDN,FIRMA,NR_KLIENTA,NR_MAGW,NR_ODPADU
366/0W/2018,27.04.2018,2.02,Mg.,0,6357,33334,582
367/0W/2018,30.04.2018,1.96,Mg.,0,6357,33335,626
368/0W/2018,30.04.2018,5.02,Mg.,0,6357,33336,528
369/0W/2018,30.04.2018,3.94,Mg.,0,6357,33337,351
370/0W/2018,04.05.2018,24.2,Mg.,0,17224,33338,793
166/1W/2018,04.05.2018,13.5,Mg.,1,6827,33339,379
961/0W/2010,31.05.2010,22.4,Mg.,0,827,15787,531
1064/1W/2010,27.12.2010,28.3,Mg.,1,1756,15788,572
962/0W/2010,31.12.2010,7.669,Mg.,0,5835,15789,604
963/0W/2010,29.10.2010,12.58,Mg.,0,194,15809,630
4/0W/2011,13.01.2011,7.669,Mg.,0,8327,15790,572
964/0W/2010,29.10.2010,4.384,Mg.,0,194,15810,594
965/0W/2010,22.11.2010,1.621,Mg.,0,194,15811,595
1/1W/2011,10.01.2011,1.43,Mg.,1,313,15791,531
2/1W/2011,05.01.2011,17.44,Mg.,1,6091,15792,528
3/1W/2011,05.01.2011,16.38,Mg.,1,6091,15793,570
4/1W/2011,04.01.2011,4.03,Mg.,1,396,15794,576
966/0W/2010,22.11.2010,8.624,Mg.,0,194,15812,565
5/1W/2011,03.01.2011,5.46,Mg.,1,6118,15795,565
7/1W/2011,10.01.2011,6.49,Mg.,1,729,15797,590
6/1W/2011,04.01.2011,4.58,Mg.,1,6118,15796,531
8/1W/2011,07.01.2011,4.94,Mg.,1,1762,15798,607
9/1W/2011,04.01.2011,2.417,Mg.,1,1763,15799,575
10/1W/2011,03.01.2011,3.67,Mg.,1,1762,15800,633
11/1W/2011,11.01.2011,1.09,Mg.,1,2195,15801,588
5/0W/2011,10.01.2011,0.7,Mg.,0,643,15802,531
967/0W/2010,30.11.2010,0.144,Mg.,0,194,15813,531
12/1W/2011,13.01.2011,4.28,Mg.,1,1763,15803,594
968/0W/2010,30.11.2010,0.051,Mg.,0,194,15814,570
6/0W/2011,10.01.2011,0.211,Mg.,0,5835,15804,575
969/0W/2010,30.11.2010,0.005,Mg.,0,194,15815,604
970/0W/2010,30.11.2010,0.216,Mg.,0,194,15816,589
7/0W/2011,14.01.2011,0.211,Mg.,0,8327,15805,531
8/0W/2011,17.01.2011,6.99,Mg.,0,9050,15806,604
13/1W/2011,05.01.2011,16.73,Mg.,1,1756,15807,575
14/1W/2011,13.01.2011,20.98,Mg.,1,1756,15808,570
9/0W/2011,11.01.2011,0.206,Mg.,0,827,15817,531
15/1W/2011,11.01.2011,8.68,Mg.,1,6091,15819,568
10/0W/2011,11.01.2011,5.08,Mg.,0,827,15818,277
16/1W/2011,11.01.2011,22.92,Mg.,1,6091,15820,589
17/1W/2011,14.01.2011,6.84,Mg.,1,6091,15821,604
18/1W/2011,13.01.2011,17.53,Mg.,1,6091,15822,575
19/1W/2011,13.01.2011,17.09,Mg.,1,1756,15823,582
11/0W/2011,05.01.2011,22.9,Mg.,0,5835,15824,531
12/0W/2011,07.01.2011,11.51,Mg.,0,8718,15825,390
13/0W/2011,11.01.2011,4.79,Mg.,0,8718,15826,572
14/0W/2011,14.01.2011,6.6,Mg.,0,8718,15827,576
971/0W/2010,07.06.2010,0.29,Mg.,0,5066,15828,878
1065/1W/2010,03.12.2010,0.105,Mg.,1,2363,15829,500
1066/1W/2010,21.12.2010,1.28,Mg.,1,2001,15830,575
1067/1W/2010,20.12.2010,1.18,Mg.,1,2001,15831,531
1068/1W/2010,29.12.2010,0.508,Mg.,1,2363,15832,271
15/0W/2011,20.01.2011,10.89,Mg.,0,8309,15833,564
16/0W/2011,20.01.2011,12.53,Mg.,0,8309,15834,564
2/0W/2010,05.01.2010,100.0,Mg.,0,7233,13546,627
3/0W/2010,14.01.2010,24.28,Mg.,0,7534,13547,531
4/0W/2010,04.01.2010,0.36,Mg.,0,7534,13548,582
5/0W/2010,04.01.2010,0.27,Mg.,0,7534,13549,582
6/0W/2010,04.01.2010,2.93,Mg.,0,7534,13550,576
7/0W/2010,04.01.2010,4.36,Mg.,0,7534,13551,565
8/0W/2010,04.01.2010,16.655,Mg.,0,7534,13552,570
20/1W/2011,19.01.2011,6.005,Mg.,1,1762,15835,102
9/0W/2010,08.01.2010,6.84,Mg.,0,5226,13558,375
10/0W/2010,22.01.2010,24.415,Mg.,0,7534,13563,565
11/0W/2010,06.01.2010,18.88,Mg.,0,2382,13575,531
15/0W/2010,11.01.2010,17.1,Mg.,0,2382,13579,572
12/0W/2010,07.01.2010,16.52,Mg.,0,2382,13576,531
16/0W/2010,11.01.2010,17.74,Mg.,0,2382,13580,492
13/0W/2010,07.01.2010,17.34,Mg.,0,2382,13577,803
17/0W/2010,11.01.2010,9.22,Mg.,0,2382,13581,531
14/0W/2010,08.01.2010,15.64,Mg.,0,2382,13578,572
18/0W/2010,12.01.2010,18.74,Mg.,0,2382,13582,531
19/0W/2010,07.01.2010,1.963,Mg.,0,194,13583,607
20/0W/2010,07.01.2010,0.0,Mg.,0,194,13584,529
21/0W/2010,07.01.2010,0.0,Mg.,0,194,13585,496
22/0W/2010,07.01.2010,20.519,Mg.,0,194,13586,528
23/0W/2010,11.01.2010,1.465,Mg.,0,194,13587,572
24/0W/2010,21.01.2010,0.377,Mg.,0,194,13588,572
25/0W/2010,21.01.2010,3.544,Mg.,0,194,13589,579
26/0W/2010,25.01.2010,2.134,Mg.,0,194,13590,564
27/0W/2010,25.01.2010,0.321,Mg.,0,194,13591,355
28/0W/2010,05.02.2010,9.16,Mg.,0,7534,13593,565
29/0W/2010,05.02.2010,1.05,Mg.,0,7534,13594,564
30/0W/2010,05.02.2010,3.21,Mg.,0,7534,13595,565
31/0W/2010,05.02.2010,1.69,Mg.,0,7534,13596,390
32/0W/2010,05.02.2010,9.285,Mg.,0,7534,13597,576
33/0W/2010,09.02.2010,24.87,Mg.,0,7534,13598,565
1/2W/2010,25.01.2010,0.0,Mg.,2,6065,13599,572
181/1W/2010,14.04.2010,18.4,Mg.,1,1756,14028,565
1/1W/2010,04.01.2010,59.4,Mg.,1,1756,13635,565
7/1W/2010,12.01.2010,29.72,Mg.,1,1756,13641,531
2/1W/2010,05.01.2010,17.88,Mg.,1,1756,13636,500
8/1W/2010,08.01.2010,2.5,Mg.,1,6091,13642,531
3/1W/2010,06.01.2010,16.02,Mg.,1,1756,13637,531
9/1W/2010,22.01.2010,4.68,Mg.,1,6091,13643,531
10/1W/2010,06.01.2010,5.24,Mg.,1,1763,13644,565
4/1W/2010,07.01.2010,33.1,Mg.,1,1756,13638,604
11/1W/2010,15.01.2010,5.12,Mg.,1,1763,13645,276
12/1W/2010,14.01.2010,2.15,Mg.,1,1782,13646,710
13/1W/2010,21.01.2010,5.42,Mg.,1,1431,13647,576
5/1W/2010,07.01.2010,16.43,Mg.,1,1756,13639,531
14/1W/2010,29.01.2010,1.71,Mg.,1,5799,13648,531
6/1W/2010,08.01.2010,30.38,Mg.,1,1756,13640,531
15/1W/2010,29.01.2010,93.38,Mg.,1,4435,13649,375
16/1W/2010,22.01.2010,52.2,Mg.,1,4435,13650,566
17/1W/2010,19.01.2010,17.66,Mg.,1,4435,13651,511
18/1W/2010,25.01.2010,8.32,Mg.,1,4435,13652,565
19/1W/2010,02.02.2010,12.381,Mg.,1,7448,13653,575
20/1W/2010,04.01.2010,8.572,Mg.,1,6118,13654,344
35/0W/2010,01.02.2010,0.86,Mg.,0,655,13667,595
21/1W/2010,04.01.2010,9.74,Mg.,1,6118,13655,582
2/2W/2010,09.02.2010,0.0,Mg.,2,194,13663,276
22/1W/2010,05.01.2010,3.27,Mg.,1,6118,13656,531
25/1W/2010,14.01.2010,30.8,Mg.,1,1756,13669,610
23/1W/2010,06.01.2010,3.61,Mg.,1,6118,13657,564
24/1W/2010,01.02.2010,4.52,Mg.,1,6118,13658,568
36/0W/2010,10.02.2010,4.94,Mg.,0,8074,13668,504
26/1W/2010,18.01.2010,18.14,Mg.,1,1756,13670,71
27/1W/2010,21.01.2010,31.63,Mg.,1,1756,13671,531
28/1W/2010,21.01.2010,21.64,Mg.,1,1756,13672,570
29/1W/2010,22.01.2010,30.5,Mg.,1,1756,13673,531
30/1W/2010,27.01.2010,27.28,Mg.,1,1756,13674,564
34/0W/2010,11.02.2010,26.0,Mg.,0,7534,13659,582
37/0W/2010,16.02.2010,24.985,Mg.,0,7534,13675,582
3/2W/2010,29.01.2010,37.82,Mg.,2,6065,13677,564
